question,label
Did Twilight come out before 1995?,"{""answerText"": ""No"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
What US president did not make it through his first two month in office?,"{""answerText"": ""William Henry Harrison"", ""category"": ""history"", ""complexityType"": ""difference""}"
Which solo Wu-Tang album was not produced by RZA?,"{""answerText"": ""The Pillage"", ""category"": ""music"", ""complexityType"": ""difference""}"
"How many games are in the main Zelda canon that feature the character, Tingle?","{""answerText"": ""5"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
What is the name of the princess in Super Mario games?,"{""answerText"": ""Princess Peach"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Did Kansas win the 1952 NCAA Division I Men's Basketball Championships?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
Did Harry Potter take place in England?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""yesno""}"
Is Hermione Granger from Gryffindor House?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Who wrote the Pride and Prejudice?,"{""answerText"": ""Jane Austen"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many Spanish exclaves are there in France?,"{""answerText"": ""1"", ""category"": ""geography"", ""complexityType"": ""count""}"
Which movie was produced by Michael Mann in 1995 and starred both Robert De Niro & Val Kilmer?,"{""answerText"": ""Heat"", ""category"": ""movies"", ""complexityType"": ""intersection""}"
"Which series has more books, The Hunger Games or Twilight?","{""answerText"": ""Twilight"", ""category"": ""books"", ""complexityType"": ""comparative""}"
Who won the 2019 World Series?,"{""answerText"": ""Washington Nationals"", ""category"": ""sports"", ""complexityType"": ""generic""}"
What year was the Palestine Liberation Organization founded?,"{""answerText"": ""1964"", ""category"": ""politics"", ""complexityType"": ""generic""}"
What is Eminem's real name?,"{""answerText"": ""Marshall Bruce Mathers II"", ""category"": ""movies"", ""complexityType"": ""generic""}"
When was Madden NFL 22 released?,"{""answerText"": ""20-Aug-21"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Which US city is nicknamed The Big Easy?,"{""answerText"": ""New Orleans"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Is Tyrion Lannister from Winterfell?,"{""answerText"": ""No"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Who is a former football player that is currently a representative from Ohio and ran in the 2016 election?,"{""answerText"": ""Anthony Gonzalez"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Has Mitch McConnell served more terms as senator than Bernie Sanders?,"{""answerText"": ""Yes"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
Which main series Pokémon game was not developed by Game Freak?,"{""answerText"": ""Pokemon Brilliant Diamond and Pokemon Shining Pearl"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
What is the world's longest novel as per Guinness Book of World Records?,"{""answerText"": ""Remembrance of Things Past"", ""category"": ""books"", ""complexityType"": ""superlative""}"
When did the first book in The Wheel of Time series come out?,"{""answerText"": ""1990"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
Who was nominated for Best Pop Duo/Group Performance for DYNAMITE but did not win?,"{""answerText"": ""BTS"", ""category"": ""music"", ""complexityType"": ""difference""}"
"Who was a member of the 2012 U.S. Olympic men's gymnastics team and born in Cárdenas, Cuba?","{""answerText"": ""Danell Johan Leyva"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
How many Secretary of Defense have not been white males?,"{""answerText"": ""1"", ""category"": ""politics"", ""complexityType"": ""count""}"
Which baseball team has not appeared in a World Series?,"{""answerText"": ""Seattle Mariners"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who created WipeoutXL?,"{""answerText"": ""Psygnosis"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
What is the fourth book in the Twilight series?,"{""answerText"": ""Breaking Dawn"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
Where is the Craters of the Moon monument located?,"{""answerText"": ""Idaho"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Who directed the movie based on the first Eragon book?,"{""answerText"": ""Stefen Fangmeier"", ""category"": ""books"", ""complexityType"": ""multihop""}"
Did Taylor Swift's Reputation come out before Red?,"{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Has any artist won more than ten Grammy Awards?,"{""answerText"": ""Yes"", ""category"": ""music"", ""complexityType"": ""yesno""}"
What is the name of the spouse of the current manager of the Philadelphia Phillies?,"{""answerText"": ""Kimberly Innocenzi"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
How old is the current head coach of the Chicago Bears?,"{""answerText"": ""43"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
"Which state has more electoral votes, South Carolina or North Carolina?","{""answerText"": ""North Carolina"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
"Who is older, Taylor Swift or Madonna?","{""answerText"": ""Madonna"", ""category"": ""music"", ""complexityType"": ""comparative""}"
Who is the youngest person to win the Academy Award for Best Director?,"{""answerText"": ""Damien Chazelle"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Which baseball player was named as the starting pitcher for the American League All-Star team and was also named as a starting position player for the same All-Star team?,"{""answerText"": ""Shohei Ohtani"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
How old is the current coach of LA Lakers?,"{""answerText"": ""48"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
What is the last One Direction album called?,"{""answerText"": ""Made in the A.M."", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Which famous star of Interview with the Vampire wanted to buy himself out of the movie and only turned it down because of the 40 million dollar price tag?,"{""answerText"": ""Brad Pitt"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Is the biggest lake in Maine called Moosehead Lake?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
How many Grammy Awards does Drake have?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""generic""}"
Did Mark Twain win a Pulitzer Prize?,"{""answerText"": ""No"", ""category"": ""books"", ""complexityType"": ""yesno""}"
What's the first book of the Twilight series?,"{""answerText"": ""Twilight"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
How many full-length movies has Taika Waititi directed?,"{""answerText"": ""7"", ""category"": ""movies"", ""complexityType"": ""count""}"
How many former U.S. presidents are still alive?,"{""answerText"": ""5"", ""category"": ""politics"", ""complexityType"": ""count""}"
Who is the tallest person to serve in U.S. government?,"{""answerText"": ""Jon Godfread"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Did Jay Gatsby die at the end of The Great Gatsby?,"{""answerText"": ""Yes"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Did Michael Phelps win a gold medal at the 1996 Olympics?,"{""answerText"": ""No"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
What is Toronto's team baseball name?,"{""answerText"": ""Blue Jays"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Where is the actor who played Edward in Twilight from?,"{""answerText"": "" England"", ""category"": ""movies"", ""complexityType"": ""multihop""}"
Who is the youngest member of the Jonas Brothers married to?,"{""answerText"": "" Priyanka Chopra"", ""category"": ""music"", ""complexityType"": ""multihop""}"
How many medals has Simone Biles won?,"{""answerText"": ""7"", ""category"": ""sports"", ""complexityType"": ""count""}"
What NBA coach has the most titles?,"{""answerText"": ""Phil Jackson"", ""category"": ""sports"", ""complexityType"": ""generic""}"
"Who was the youngest member of the United States Congress on December 2, 1793?","{""answerText"": ""Albert Gallatin"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Which part of Indiana Jones' name is not actually his real name?,"{""answerText"": ""Indiana"", ""category"": ""movies"", ""complexityType"": ""difference""}"
Which deep red state did Donald Trump not win in the 2020 election?,"{""answerText"": ""Georgia"", ""category"": ""politics"", ""complexityType"": ""difference""}"
How many books has author Ann Rule had published?,"{""answerText"": ""60"", ""category"": ""books"", ""complexityType"": ""count""}"
Did The Great Gatsby published in 1924?,"{""answerText"": ""No"", ""category"": ""books"", ""complexityType"": ""yesno""}"
Which author has sold the most mystery books?,"{""answerText"": ""Agatha Christie"", ""category"": ""books"", ""complexityType"": ""generic""}"
"Who was older, Shakespeare or Chaucer?","{""answerText"": ""Chaucer"", ""category"": ""books"", ""complexityType"": ""comparative""}"
What Tolkien novel is set in the Lord of the Ring Universe but not a part of the trilogy?,"{""answerText"": ""The Hobbit"", ""category"": ""books"", ""complexityType"": ""difference""}"
Which state did not vote the incumbent's party into the governorship in 2020?,"{""answerText"": ""Montana"", ""category"": ""politics"", ""complexityType"": ""difference""}"
Which book in Stephen King's The Dark Tower series was not a full length book?,"{""answerText"": ""The Little Sisters of Eluria"", ""category"": ""books"", ""complexityType"": ""difference""}"
What is the largest country by area?,"{""answerText"": ""Russia"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
Which game is in the Final Fantasy series and has Tidus as the main protagonist?,"{""answerText"": ""Final Fantasy X"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Which song was nominated for MTV VMA Best Pop Song and did not win in 2021?,"{""answerText"": ""Olivia Rodrigo: \""Good 4 U\"""", ""category"": ""music"", ""complexityType"": ""difference""}"
What has been the highest number of Grammy Awards an artist has won in one night?,"{""answerText"": ""Michael Jackson"", ""category"": ""music"", ""complexityType"": ""superlative""}"
"Which state that starts with ""O"" is not west of the Mississippi River?","{""answerText"": ""Ohio"", ""category"": ""geography"", ""complexityType"": ""difference""}"
What is the penultimate Twilight movie?,"{""answerText"": ""The Twilight Saga: Breaking Dawn \u2013 Part 1"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
"Who was younger when they became US president, John F. Kennedy or Bill Clinton?","{""answerText"": ""John F. Kennedy"", ""category"": ""history"", ""complexityType"": ""comparative""}"
What is the second Lady Gaga album called?,"{""answerText"": ""Born This Way"", ""category"": ""music"", ""complexityType"": ""ordinal""}"
Who is the leader of Botswana?,"{""answerText"": ""Mokgweetsi Masisi"", ""category"": ""politics"", ""complexityType"": ""generic""}"
"Who was in office longer, George Bush or FDR?","{""answerText"": ""FDR"", ""category"": ""history"", ""complexityType"": ""comparative""}"
"Which Eminem album had fewer songs, Recovery or The Eminem Show?","{""answerText"": ""Recovery"", ""category"": ""music"", ""complexityType"": ""comparative""}"
Does Mario get smaller when he eats a shroom?,"{""answerText"": ""No"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Did the Los Angeles Dodgers win the World Series in 2020?,"{""answerText"": ""Yes"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
What party did the US president during the atomic bombing of Hiroshima and Nagasaki belong to?,"{""answerText"": ""Democratic Party"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
How many studio albums did Weezer release in the 1990s?,"{""answerText"": ""2"", ""category"": ""music"", ""complexityType"": ""count""}"
Where did the Inca civilization start?,"{""answerText"": ""Peru"", ""category"": ""history"", ""complexityType"": ""generic""}"
What is the population in the capital city of the India?,"{""answerText"": ""21.75 million"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
Which of the Great Lakes do not share a border with Wisconsin?,"{""answerText"": ""Lake Huron, Lake Erie, Lake Ontario"", ""category"": ""geography"", ""complexityType"": ""difference""}"
How many movies are in the Hangover franchise?,"{""answerText"": ""3"", ""category"": ""movies"", ""complexityType"": ""count""}"
"Who has written more books, Mary Higgins Clark or Dan Brown?","{""answerText"": ""Mary Higgins Clark"", ""category"": ""books"", ""complexityType"": ""comparative""}"
How many losses did Muhammad Ali have in boxing?,"{""answerText"": ""5"", ""category"": ""sports"", ""complexityType"": ""count""}"
Who wrote Tuesdays with Morrie?,"{""answerText"": ""Mitch Albom"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many MLB teams were there in 2020?,"{""answerText"": ""30"", ""category"": ""sports"", ""complexityType"": ""generic""}"
What was the first Final Fantasy game that did not have a male as its main protagonist?,"{""answerText"": ""Final Fantasy 10-2"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Is Bob Marley still alive?,"{""answerText"": ""No"", ""category"": ""music"", ""complexityType"": ""yesno""}"
Which French king ruled the longest?,"{""answerText"": ""Louis XIV"", ""category"": ""history"", ""complexityType"": ""superlative""}"
What are the names of the two major political parties in the United States?,"{""answerText"": ""Democratic and Republican"", ""category"": ""politics"", ""complexityType"": ""generic""}"
Who was the second Republican mayor of Boston?,"{""answerText"": ""Frederic W. Lincoln Jr."", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Which band wrote the song Hangar Eighteen Inches?,"{""answerText"": ""Megadeth"", ""category"": ""music"", ""complexityType"": ""generic""}"
Which quarterback threw the longest touchdown pass in Super Bowl history?,"{""answerText"": ""Jake Delhomme"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Which unlockable Super Smash Bros. character on N64 was not a human being?,"{""answerText"": ""Jigglypuff"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
Who was the first king of Scotland?,"{""answerText"": ""James VI and I"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
What is the last book Dan Brown has written?,"{""answerText"": ""Wild Symphony"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
How tall is the director of Matilda?,"{""answerText"": ""4'10\"""", ""category"": ""movies"", ""complexityType"": ""multihop""}"
In what year was Abraham Lincoln assassinated?,"{""answerText"": ""1865"", ""category"": ""history"", ""complexityType"": ""generic""}"
What is the name of Ethan's baby in Resident Evil Village?,"{""answerText"": ""Rosemary"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Which year did Anthony Joshua defended his titles in England and did not win?,"{""answerText"": ""2021"", ""category"": ""sports"", ""complexityType"": ""difference""}"
What NFL player as the most recorded sacks in their career?,"{""answerText"": ""Bruce Smith"", ""category"": ""sports"", ""complexityType"": ""generic""}"
How many Academy Awards has James Cameron won?,"{""answerText"": ""6"", ""category"": ""movies"", ""complexityType"": ""count""}"
How many platforms was the original Resident Evil game available on?,"{""answerText"": ""5"", ""category"": ""videogames"", ""complexityType"": ""count""}"
"Which video game came out earlier, Earthworm Jim or Sonic the Hedgehog 2?","{""answerText"": ""Sonic the Hedgehog 2"", ""category"": ""videogames"", ""complexityType"": ""comparative""}"
Who has 7 NASCAR Cup Series championships and now drives in the Indycar series?,"{""answerText"": ""Jimmy Johnson"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
Who was the quarterback of the team that won Super Bowl 45?,"{""answerText"": ""Aaron Rodgers"", ""category"": ""sports"", ""complexityType"": ""multihop""}"
How many United States Representatives does New Mexico have?,"{""answerText"": ""3"", ""category"": ""politics"", ""complexityType"": ""count""}"
Who is the oldest actor to win an Oscar?,"{""answerText"": ""Anthony Hopkins"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Who was the ninth governor of California?,"{""answerText"": ""Frederick Low"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
What man was US president and also Chief Justice of the Supreme Court?,"{""answerText"": ""William Howard Taft"", ""category"": ""history"", ""complexityType"": ""intersection""}"
Which is the most populated city in USA?,"{""answerText"": ""New York City"", ""category"": ""geography"", ""complexityType"": ""generic""}"
What is the name of Roy Hobbs' baseball bat?,"{""answerText"": ""Wonderboy"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which member of Keane was on rehabilitation for a long time?,"{""answerText"": ""Tom Chalplin"", ""category"": ""music"", ""complexityType"": ""intersection""}"
Is Houston the most diverse city in the United States?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
How old was the first Canadian prime minister when he died?,"{""answerText"": ""76"", ""category"": ""history"", ""complexityType"": ""multihop""}"
What state holds the first Democratic Presidential Primary or Caucus?,"{""answerText"": ""Iowa"", ""category"": ""politics"", ""complexityType"": ""generic""}"
How old was the lead singer of The E Street Band when Born to Run was released?,"{""answerText"": ""25"", ""category"": ""music"", ""complexityType"": ""multihop""}"
What year did Nolan Ryan throw his last professional pitch?,"{""answerText"": ""1993"", ""category"": ""sports"", ""complexityType"": ""ordinal""}"
What year did Elizabeth Gaskell die?,"{""answerText"": ""1865"", ""category"": ""books"", ""complexityType"": ""generic""}"
How many districts does Katniss Everdeen belong to in The Hunger Games?,"{""answerText"": ""1"", ""category"": ""books"", ""complexityType"": ""count""}"
What was the first movie directed by Isao Takahata?,"{""answerText"": ""Grave of the Fireflies"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
"Did Germany attack Pearl Harbor on December 7, 1941?","{""answerText"": ""No"", ""category"": ""history"", ""complexityType"": ""yesno""}"
How many Olympic medals does Simone Biles have that are not silver?,"{""answerText"": ""6"", ""category"": ""sports"", ""complexityType"": ""difference""}"
Who is the youngest coach to have won a Super Bowl?,"{""answerText"": ""Mike Tomlin"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Was Nicholas II the last emperor of Russia?,"{""answerText"": ""Yes"", ""category"": ""history"", ""complexityType"": ""yesno""}"
What is the first book in the Twilight series?,"{""answerText"": ""Twilight"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
Where did Mario make his debut and appeared in 1981?,"{""answerText"": ""Donkey Kong"", ""category"": ""videogames"", ""complexityType"": ""intersection""}"
Who was the shortest serving senator?,"{""answerText"": ""Rebecca Latimer Felton"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
How many people live in Chicago?,"{""answerText"": ""2716450"", ""category"": ""geography"", ""complexityType"": ""generic""}"
How many member are there in the Beatles?,"{""answerText"": ""4"", ""category"": ""music"", ""complexityType"": ""count""}"
When did the first Wheel of Time book come out?,"{""answerText"": ""1990"", ""category"": ""books"", ""complexityType"": ""ordinal""}"
What is the capital city of the newest U.S. state?,"{""answerText"": ""Honolulu"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
"Who is older, Jay-Z or Dr. Dre?","{""answerText"": ""Dr Dre"", ""category"": ""music"", ""complexityType"": ""comparative""}"
What is the longest George RR Martin book?,"{""answerText"": ""A Dance with Dragons"", ""category"": ""books"", ""complexityType"": ""superlative""}"
Was Bad Boys for Life released the same year as Sonic the Hedgehog?,"{""answerText"": ""Yes"", ""category"": ""movies"", ""complexityType"": ""comparative""}"
Is K2 the tallest mountain in the world?,"{""answerText"": ""No"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Does Valentino Rossi win the most MotoGP World Championships in history?,"{""answerText"": ""No"", ""category"": ""sports"", ""complexityType"": ""yesno""}"
How old is Bella Swan in Twilight?,"{""answerText"": ""17"", ""category"": ""books"", ""complexityType"": ""generic""}"
When was the first installment of the Halo series released?,"{""answerText"": ""2001"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Who has won more Grammy Awards than any other rapper?,"{""answerText"": ""Jay Z"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Did Donald Trump win the 2020 US Presidential Election?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
How many billboards does Lady Gaga have?,"{""answerText"": ""9"", ""category"": ""music"", ""complexityType"": ""count""}"
How many federated states are located in the Southern Region of Brazil?,"{""answerText"": ""3"", ""category"": ""geography"", ""complexityType"": ""count""}"
How long did it take to build the Burj Khalifa?,"{""answerText"": ""6 years"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Who is the current king of Jordan?,"{""answerText"": ""Abdullah II"", ""category"": ""politics"", ""complexityType"": ""generic""}"
"Who has been in politics longer, Joe Biden or Donald Trump?","{""answerText"": ""Joe Biden"", ""category"": ""politics"", ""complexityType"": ""comparative""}"
What NBA team has won the most championships?,"{""answerText"": ""Boston Celtics"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who is Brad Hall married to?,"{""answerText"": ""Julia Louis Dreyfus"", ""category"": ""movies"", ""complexityType"": ""generic""}"
"Which country has a larger city by population, Japan or India?","{""answerText"": ""Japan"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
Is Patrick Mahomes older than Tom Brady?,"{""answerText"": ""No"", ""category"": ""sports"", ""complexityType"": ""comparative""}"
What is the first Star Wars movie chronologically?,"{""answerText"": ""Star Wars Episode I: The Phantom Menace"", ""category"": ""movies"", ""complexityType"": ""ordinal""}"
What region in Brazil holds more large-scale mountain ranges: the Northeast Region or the Southeast Region?,"{""answerText"": ""Southeast Region"", ""category"": ""geography"", ""complexityType"": ""comparative""}"
What is the largest lake in Canada?,"{""answerText"": ""Lake Superior"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
What was the shortest term of a U.S. president?,"{""answerText"": ""William Henry Harrison"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Which British monarch did not reign for even two weeks?,"{""answerText"": ""Lady Jane Grey"", ""category"": ""history"", ""complexityType"": ""difference""}"
When did Sunset Overdrive come out?,"{""answerText"": ""28-Oct-14"", ""category"": ""videogames"", ""complexityType"": ""generic""}"
Is Fallout 76 the last Fallout made?,"{""answerText"": ""Yes"", ""category"": ""videogames"", ""complexityType"": ""yesno""}"
Which Outlander series book has not been released yet?,"{""answerText"": ""Go Tell the Bees That I am Gone"", ""category"": ""books"", ""complexityType"": ""difference""}"
What was the first expansion pack for The Sims 3?,"{""answerText"": ""World Adventures"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
"What member of Crosby, Stills and Nash is not from the United States?","{""answerText"": ""Graham Nash"", ""category"": ""music"", ""complexityType"": ""difference""}"
How many points is a basket worth?,"{""answerText"": ""Three points"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Which Mario video game sold the most copies?,"{""answerText"": ""Super Mario Bros."", ""category"": ""videogames"", ""complexityType"": ""superlative""}"
What is the fourth installment of the Resident Evil series?,"{""answerText"": ""Resident Evil- Code: Veronica"", ""category"": ""videogames"", ""complexityType"": ""ordinal""}"
Who was the first prime minister of India?,"{""answerText"": ""Jawaharlal Nehru"", ""category"": ""history"", ""complexityType"": ""ordinal""}"
Which American states do not have a population less than that of Canada?,"{""answerText"": ""California"", ""category"": ""geography"", ""complexityType"": ""difference""}"
What is the tallest mountain in the U.S. state whose capital is Helena?,"{""answerText"": ""Wilson Peak"", ""category"": ""geography"", ""complexityType"": ""multihop""}"
How many members are in Backstreet Boys?,"{""answerText"": ""5"", ""category"": ""music"", ""complexityType"": ""count""}"
Which Portuguese explorer achieved the first European navigation from the Atlantic to Asia and was killed in the Battle of Mactan?,"{""answerText"": ""Ferdinand Magellan"", ""category"": ""history"", ""complexityType"": ""intersection""}"
What month was it when the third U.S. president left office?,"{""answerText"": ""March"", ""category"": ""politics"", ""complexityType"": ""multihop""}"
Which Mark Twain short story was written in 1898 and published posthumously in 1912?,"{""answerText"": ""My Platonic Sweetheart"", ""category"": ""books"", ""complexityType"": ""intersection""}"
Who has the most lifetime Grammy wins?,"{""answerText"": ""Georg Solti"", ""category"": ""music"", ""complexityType"": ""superlative""}"
Which team has won multiple Super Bowls and used to have Tom Brady?,"{""answerText"": ""New England Patriots"", ""category"": ""sports"", ""complexityType"": ""intersection""}"
"Which Super Smash Bros. character on the N64 platform was a primate, but not a human being?","{""answerText"": ""Donkey Kong"", ""category"": ""videogames"", ""complexityType"": ""difference""}"
How many games are in the Red Dead series?,"{""answerText"": ""3"", ""category"": ""videogames"", ""complexityType"": ""count""}"
Which countries have had the most wars against each other?,"{""answerText"": ""Sweden and Denmark"", ""category"": ""history"", ""complexityType"": ""superlative""}"
Who was the first transgender person to hold a political office in the United States?,"{""answerText"": ""Joanne Marie Conte"", ""category"": ""politics"", ""complexityType"": ""ordinal""}"
Who wrote the Ramona Quimby book series?,"{""answerText"": ""Beverly Cleary"", ""category"": ""books"", ""complexityType"": ""generic""}"
"Which of the river systems that flow into the Gulf of Mexico do not have a length of less than 5,000 km?","{""answerText"": ""Mississippi\u2013Missouri\u2013Jefferson\u2013Beaverhead\u2013Red Rock\u2013Hell Roaring"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Which countries in South America do not have access to the sea?,"{""answerText"": ""Bolivia, Paraguay"", ""category"": ""geography"", ""complexityType"": ""difference""}"
Which movie is the highest grossing of all time?,"{""answerText"": ""Avatar"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
Which Lord of the Rings movie made the most money?,"{""answerText"": ""The Return of the King"", ""category"": ""movies"", ""complexityType"": ""superlative""}"
How many Fantastic Beasts movies have been released so far?,"{""answerText"": ""2"", ""category"": ""movies"", ""complexityType"": ""count""}"
"What famous series of books by J.K. Rowling was not allowed into many public schools because of ""Satanic"" allegations?","{""answerText"": ""Harry Potter"", ""category"": ""books"", ""complexityType"": ""difference""}"
Who played Detective Rick Deckard in Blade Runner?,"{""answerText"": ""Harrison Ford"", ""category"": ""movies"", ""complexityType"": ""generic""}"
Which countries are not part of the United Nations?,"{""answerText"": ""Vatican City and Palestine"", ""category"": ""geography"", ""complexityType"": ""difference""}"
"Which book was published first, Goodnight Moon or The Little Engine That Could?","{""answerText"": ""The Little Engine That Could"", ""category"": ""books"", ""complexityType"": ""comparative""}"
Is Australia in the Southern Hemisphere?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Which The Hunger Games book is the longest?,"{""answerText"": ""Catching Fire"", ""category"": ""books"", ""complexityType"": ""superlative""}"
What is the tallest mountain in India?,"{""answerText"": ""Kangchenjunga"", ""category"": ""geography"", ""complexityType"": ""superlative""}"
Which is the tallest monument in the USA?,"{""answerText"": ""The Gateway Arch"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Where was the first Animal Crossing mobile game released first?,"{""answerText"": ""Australia"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
How many Grammy Awards has Green Day won?,"{""answerText"": ""5"", ""category"": ""music"", ""complexityType"": ""count""}"
In which city is the Taj Mahal?,"{""answerText"": ""Agra"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Is Ottawa the capital of Canada?,"{""answerText"": ""Yes"", ""category"": ""geography"", ""complexityType"": ""yesno""}"
Which football stadium in the NFL is the oldest?,"{""answerText"": ""Soldier Field"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who has won the most Australian Open singles titles?,"{""answerText"": ""Margaret Court"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
How old is the longest-tenured drummer for the band that recorded Every Breath You Take?,"{""answerText"": ""69"", ""category"": ""music"", ""complexityType"": ""multihop""}"
Did Hillary Clinton win the 2016 Presidential Election?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
When did the Notebook come out?,"{""answerText"": ""2004"", ""category"": ""movies"", ""complexityType"": ""generic""}"
What state is known for growing potatoes?,"{""answerText"": ""Idaho"", ""category"": ""geography"", ""complexityType"": ""generic""}"
Is Colorado mostly controlled by republicans?,"{""answerText"": ""No"", ""category"": ""politics"", ""complexityType"": ""yesno""}"
What coach has won the most Super Bowls?,"{""answerText"": ""Bill Belichick"", ""category"": ""sports"", ""complexityType"": ""generic""}"
Who ran for the 2020 Democratic Party Primaries and was a senator from Vermont?,"{""answerText"": ""Bernie Sanders"", ""category"": ""politics"", ""complexityType"": ""intersection""}"
Who wrote the novel Devil in a Blue Dress?,"{""answerText"": ""Walter Mosley"", ""category"": ""books"", ""complexityType"": ""generic""}"
Which Dark Tower books are not part of the original series?,"{""answerText"": ""The Wind Through the Keyhole and The Little Sisters of Eluria"", ""category"": ""books"", ""complexityType"": ""difference""}"
Who is the oldest debut novelist?,"{""answerText"": ""Lorna Page"", ""category"": ""books"", ""complexityType"": ""superlative""}"
Who was the oldest person to be inaugurated president of the United States?,"{""answerText"": ""Joe Biden"", ""category"": ""politics"", ""complexityType"": ""superlative""}"
Who is the tallest NBA player of all time?,"{""answerText"": ""Yao Ming"", ""category"": ""sports"", ""complexityType"": ""superlative""}"
Who is the final boss of the last Final Fantasy game for the NES?,"{""answerText"": ""Cloud of Darkness"", ""category"": ""videogames"", ""complexityType"": ""multihop""}"
How many national championships have Clemson won?,"{""answerText"": ""3"", ""category"": ""sports"", ""complexityType"": ""count""}"
Who served as president of the United States the longest?,"{""answerText"": ""Franklin D. Roosevelt"", ""category"": ""history"", ""complexityType"": ""superlative""}"
